year,State,population,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,Total
2017,TN,6708794,43940,538,3028.0,7867,32507,198028,38819,140636,18573,483936.0
2017,TX,28322717,123984,1405,14536.0,32120,75923,723143,133458,521767,67918,1694254.0
2017,UT,3103118,7515,74,1758.0,1498,4185,86201,11780,64955,9466,187432.0
2017,VA,8465207,17811,470,3026.0,4331,9984,152515,18524,123812,10179,340652.0
2017,VT,624525,1082,17,254.0,100,711,9339,1945,7169,225,20842.0
2017,WA,7425432,22483,226,3300.0,5386,13571,235206,43687,162154,29365,515378.0
2017,WI,5792051,18638,192,2177.0,4370,11899,104908,17570,77868,9470,247092.0
2017,WV,1817048,6564,98,793.0,673,5000,32560,7557,21917,3086,78248.0
2017,WY,578934,1358,14,253.0,98,993,10528,1556,8211,761,23772.0
2017,All,325147121,1283875,17294,135666.0,320596,810319,7682988,1397045,5513000,772943,17933726.0
2018,AK,737438,6526,47,1192.0,896,4391,24339,3979,16364,3996,61730.0
2018,AL,4887871,25399,383,1996.0,4076,18944,137700,28841,95747,13112,326198.0
2018,AR,3013825,16384,216,2196.0,1594,12378,87793,19193,61487,7113,208354.0
2018,AZ,7171646,34058,369,3638.0,6523,23528,191974,31532,141303,19139,452064.0
2018,CA,39557045,176982,1739,15505.0,54326,105412,941618,164632,621775,155211,2237200.0
2018,CO,5695564,22624,210,4070.0,3797,14547,152163,21371,109119,21673,349574.0
2018,CT,3572665,7411,83,840.0,2194,4294,60055,7948,44724,7383,134932.0
2018,DC,702455,6996,160,450.0,2415,3971,30724,1788,26343,2593,75440.0
2018,DE,967171,4097,48,338.0,866,2845,22481,3158,17847,1476,53156.0
2018,FL,21299325,81980,1107,8438.0,16884,55551,486017,71933,372919,41165,1135994.0
2018,GA,10519475,34355,642,2651.0,8279,22783,270738,45369,200609,24760,610186.0
2018,HI,1420491,3532,36,625.0,946,1925,40772,5631,29492,5649,88608.0
2018,IA,3156145,7893,54,976.0,932,5931,53385,11127,37571,4687,122556.0
2018,ID,1754208,3983,35,791.0,200,2957,25636,4940,18732,1964,59238.0
2018,IL,12741080,51490,884,5859.0,14208,30539,246264,39080,187591,19593,595508.0
2018,IN,6691878,25581,438,2370.0,5939,16834,145838,25268,105242,15328,342838.0
2018,KS,2911505,12782,113,1567.0,1543,9559,76686,12537,56305,7844,178936.0
2018,KY,4468402,9467,244,1707.0,2457,5059,87695,17190,60244,10261,194324.0
2018,LA,4659978,25049,530,2085.0,4568,17866,152661,31132,109993,11536,355420.0
2018,MA,6902149,23337,136,2410.0,4143,16648,87196,13862,66728,6606,221066.0
2018,MD,6042718,28320,490,1979.0,9716,16135,122864,18892,91835,12137,302368.0
2018,ME,1338404,1501,24,446.0,228,803,18173,2713,14683,777,39348.0
2018,MI,9995915,44918,551,7690.0,5656,31021,165280,31651,116178,17451,420396.0
2018,MN,5611179,12369,106,2462.0,2944,6857,111874,16185,85561,10128,248486.0
2018,MO,6126452,30758,607,2912.0,5197,22042,162173,27257,115101,19815,385862.0
2018,MS,2986530,6999,171,537.0,1595,4696,71766,20839,46627,4300,157530.0
2018,MT,1062305,3974,34,551.0,269,3120,26518,3257,20465,2796,60984.0
2018,NC,10383620,39210,628,2633.0,8423,27526,258979,62290,179057,17632,596378.0
2018,ND,760077,2133,18,397.0,158,1560,15507,2724,11008,1775,35280.0
2018,NE,1929268,5494,44,1233.0,756,3461,40126,5246,30006,4874,91240.0
2018,NH,1356458,2349,21,534.0,359,1435,16935,1847,14219,869,38568.0
2018,NJ,8908520,18537,286,1424.0,6364,10463,125156,19232,94887,11037,287386.0
2018,NM,2095428,17949,167,1354.0,2830,13598,71657,16088,45390,10179,179212.0
2018,NV,3034392,16420,202,2329.0,3862,10027,73985,17743,44338,11904,180810.0
2018,NY,19542209,68495,562,6575.0,18187,43171,281507,31137,237233,13137,700004.0
2018,OH,11689442,32723,564,5300.0,9185,17674,254496,48186,186401,19909,574438.0
2018,OK,3943079,18380,206,2299.0,2791,13084,113364,26858,73217,13289,263488.0
2018,OR,4190713,11966,82,1975.0,2549,7360,121278,16304,88418,16556,266488.0
2018,PA,12807060,39192,784,4483.0,9848,24077,190816,27104,150596,13116,460016.0
2018,RI,1057315,2317,16,481.0,454,1366,17561,2810,13220,1531,39756.0
2018,SC,5084127,24825,392,2434.0,3553,18446,153421,29473,109616,14332,356492.0
2018,SD,882235,3570,12,614.0,262,2682,15251,2571,11156,1524,37642.0
2018,TN,6770010,42226,498,2821.0,7190,31717,191279,33132,137708,20439,467010.0
2018,TX,28701845,117927,1322,14693.0,28256,73656,679430,117911,491702,69817,1594714.0
2018,UT,3161105,7368,60,1753.0,1236,4319,75156,9968,57460,7728,165048.0
2018,VA,8517685,17032,391,2924.0,3604,10113,141885,15574,115533,10778,317834.0
2018,VT,626299,1077,10,287.0,70,710,8036,1467,6316,253,18226.0
2018,WA,7535591,23472,236,3413.0,5572,14251,222011,40201,154133,27677,490966.0
2018,WI,5813568,17176,176,2248.0,3489,11263,90686,14099,67953,8634,215724.0
2018,WV,1805832,5236,67,652.0,572,3945,26827,5354,18954,2519,64126.0
2018,WY,577737,1226,13,243.0,100,870,10313,1525,7949,839,23078.0
2018,All,327167434,1245065,16214,139380.0,282061,807410,7196045,1230149,5217055,748841,16882220.0
